fecha_mes,producto_id,canal_id,meta_cantidad,meta_ventas,meta_margen,meta_produccion
2023-01-01,PROD001,CAN01,14527.89,439323.39,131797.02,15077.74
2023-01-01,PROD001,CAN02,9897.94,304064.72,91219.42,9755.35
2023-01-01,PROD001,CAN03,7022.35,219097.32,65729.2,7686.74
2023-01-01,PROD001,CAN04,3538.21,109259.92,32777.98,3938.92
2023-01-01,PROD002,CAN01,15908.08,458510.64,142826.06,17437.98
2023-01-01,PROD002,CAN02,11625.76,340402.25,106035.3,12538.11
2023-01-01,PROD002,CAN03,8982.69,267122.74,83208.73,9433.41
2023-01-01,PROD002,CAN04,4262.54,125457.21,39079.92,4372.75
2023-01-01,PROD003,CAN01,7442.05,260211.28,79468.52,7663.12
2023-01-01,PROD003,CAN02,6597.08,234328.28,71563.86,7209.73
2023-01-01,PROD003,CAN03,4180.17,150799.63,46054.21,4634.38
2023-01-01,PROD003,CAN04,2288.86,81723.75,24958.43,2301.61
2023-01-01,PROD004,CAN01,5139.87,177286.97,53912.97,5685.24
2023-01-01,PROD004,CAN02,3743.15,131159.98,39885.75,3581.37
2023-01-01,PROD004,CAN03,2903.35,103322.97,31420.52,3059.28
2023-01-01,PROD004,CAN04,1320.6,46514.83,14145.16,1352.62
2023-01-01,PROD005,CAN01,5586.99,200628.81,57540.34,6180.03
2023-01-01,PROD005,CAN02,4317.77,157512.25,45174.51,4818.94
2023-01-01,PROD005,CAN03,3023.02,112002.89,32122.43,3274.49
2023-01-01,PROD005,CAN04,1614.06,59187.58,16975.0,1601.49
2023-01-01,PROD006,CAN01,6086.24,161041.91,48892.32,6410.0
2023-01-01,PROD006,CAN02,4223.22,113520.15,34464.72,4024.87
2023-01-01,PROD006,CAN03,2831.88,77310.32,23471.41,2736.0
2023-01-01,PROD006,CAN04,1223.97,33071.67,10040.56,1194.67
2023-01-01,PROD007,CAN01,3289.97,105706.74,28604.24,3626.55
2023-01-01,PROD007,CAN02,3000.93,97950.36,26505.37,2916.47
2023-01-01,PROD007,CAN03,2106.05,69815.56,18892.09,2022.99
2023-01-01,PROD007,CAN04,814.13,26711.61,7228.16,899.33
2023-01-01,PROD008,CAN01,6345.13,158897.92,31779.58,6073.53
2023-01-01,PROD008,CAN02,5462.4,138963.46,27792.69,5889.89
2023-01-01,PROD008,CAN03,3449.11,89116.38,17823.28,3739.17
2023-01-01,PROD008,CAN04,1940.87,49632.9,9926.58,2166.26
2023-01-01,PROD009,CAN01,1384.01,464300.75,141240.29,1480.87
2023-01-01,PROD009,CAN02,1401.98,477794.78,145345.17,1391.72
2023-01-01,PROD009,CAN03,764.34,264557.18,80478.29,833.74
2023-01-01,PROD009,CAN04,381.53,130702.64,39759.74,414.43
2023-01-01,PROD010,CAN01,1907.29,609207.5,185625.53,1987.62
2023-01-01,PROD010,CAN02,1538.66,499264.4,152125.86,1625.21
2023-01-01,PROD010,CAN03,940.1,309809.95,94399.09,979.32
2023-01-01,PROD010,CAN04,477.67,155801.62,47472.75,470.0
2023-01-01,PROD011,CAN01,1106.46,423469.9,125474.13,1064.08
2023-01-01,PROD011,CAN02,752.33,292505.9,86669.5,806.46
2023-01-01,PROD011,CAN03,633.77,250259.93,74152.02,686.35
2023-01-01,PROD011,CAN04,305.34,119334.51,35358.82,301.66
2023-01-01,PROD012,CAN01,565.06,223204.35,60867.83,539.58
2023-01-01,PROD012,CAN02,410.1,164564.93,44876.86,427.65
2023-01-01,PROD012,CAN03,302.95,123467.27,33669.52,325.87
2023-01-01,PROD012,CAN04,150.95,60888.7,16604.35,144.89
2023-01-01,PROD013,CAN01,589.71,136532.61,37341.67,621.89
2023-01-01,PROD013,CAN02,513.2,120704.64,33012.72,523.64
2023-01-01,PROD013,CAN03,326.85,78076.29,21353.87,349.45
2023-01-01,PROD013,CAN04,145.08,34300.54,9381.2,149.66
2023-01-01,PROD014,CAN01,728.88,189417.69,52355.05,703.95
2023-01-01,PROD014,CAN02,613.57,161982.48,44771.96,686.73
2023-01-01,PROD014,CAN03,411.78,110408.51,30516.91,435.46
2023-01-01,PROD014,CAN04,205.19,54452.3,15050.62,217.23
2023-01-01,PROD015,CAN01,643.86,193486.37,54756.64,628.27
2023-01-01,PROD015,CAN02,515.19,157277.2,44509.45,499.2
2023-01-01,PROD015,CAN03,391.92,121514.8,34388.69,397.13
2023-01-01,PROD015,CAN04,202.39,62107.42,17576.4,213.19
2023-01-01,PROD016,CAN01,459.93,161683.79,43460.6,501.84
2023-01-01,PROD016,CAN02,328.96,117478.2,31578.14,365.55
2023-01-01,PROD016,CAN03,264.88,96071.98,25824.15,290.04
2023-01-01,PROD016,CAN04,126.44,45389.43,12200.68,121.36
2023-01-01,PROD017,CAN01,390.59,143951.94,38391.98,422.37
2023-01-01,PROD017,CAN02,333.66,124922.3,33316.78,335.45
2023-01-01,PROD017,CAN03,207.02,78719.35,20994.45,215.65
2023-01-01,PROD017,CAN04,115.77,43570.04,11620.13,123.51
2023-01-01,PROD018,CAN01,108.17,46510.4,10222.99,111.62
2023-01-01,PROD018,CAN02,87.83,38364.14,8432.44,97.84
2023-01-01,PROD018,CAN03,69.76,30947.28,6802.21,72.08
2023-01-01,PROD018,CAN04,29.83,13097.61,2878.85,30.41
2023-01-01,PROD019,CAN01,1091.03,49489.12,17529.05,1071.05
2023-01-01,PROD019,CAN02,716.28,33006.18,11690.79,720.26
2023-01-01,PROD019,CAN03,617.73,28909.76,10239.84,654.48
2023-01-01,PROD019,CAN04,221.34,10252.47,3631.42,237.78
2023-01-01,PROD020,CAN01,851.61,34605.17,12070.28,898.42
2023-01-01,PROD020,CAN02,615.31,25400.0,8859.52,634.25
2023-01-01,PROD020,CAN03,616.55,25848.86,9016.08,596.36
2023-01-01,PROD020,CAN04,217.0,9004.41,3140.74,207.63
2023-01-01,PROD021,CAN01,1107.49,64887.84,21977.51,1217.91
2023-01-01,PROD021,CAN02,781.54,46517.26,15755.4,865.18
